Station Name,State,District,Month,Year,Temperature (in °C)
DATIA,Madhya Pradesh,DATIA,Jun,2010,28.38
NALGONDA,Telangana,NALGONDA,Jun,2010,27.73
MANA(A),Chhattisgarh,RAIPUR,Jun,2010,28.03
SOLAN,Himachal Pradesh,SOLAN,Jun,2010,18.25
GUWAHATI / BORJHAR(A),Assam,KAMRUP (METRO),Jun,2010,25.45
JORHAT (PET),Assam,JORHAT,Jun,2010,24.69
GWALIOR,Madhya Pradesh,GWALIOR,Jun,2010,29.07
BHADRACHALAM (KOTHAGUDEM),Telangana,B.KOTHAGUDEM,Jun,2010,27.56
GANGTOK,Sikkim,EAST SIKKIM,Jun,2010,17.14
GOLAGHAT,Assam,GOLAGHAT,Jun,2010,11.32
SHAHJAHANPUR,Uttar Pradesh,SHAHJAHANPUR,Jun,2010,25.83
ITANAGAR MO (NAHARLAGUN),Arunachal Pradesh,PAPUM PARE,Jun,2010,23.87
BAGALKOTE,Karnataka,BAGALKOT,Jun,2010,23.46
CHAMARAJNAGAR,Karnataka,CHAMARAJNAGAR,Jun,2010,21.12
AIZWAL,Mizoram,AIZWAL,Jun,2010,19.84
TIRUCHIRAPALLI (A),Tamil Nadu,TIRUCHIRAPALLI,Jun,2010,26.36
JABALPUR(A),Madhya Pradesh,JABALPUR(A),Jun,2010,27.76
JAIPUR / SANGANER (A),Rajasthan,JAIPUR,Jun,2010,28.66
MANDYA,Karnataka,MANDYA,Jun,2010,20.26
MANALI,Himachal Pradesh,KULU,Jun,2010,11.55
MAHBOOBNAGAR,Telangana,MAHBOOB NAGAR,Jun,2010,25.63
DIAMOND HARBOUR,West Bengal,SOUTH 24 PARGANAS,Jun,2010,27.50
CUTTACK,Odisha,CUTTACK,Jun,2010,27.34
DHARWAD PTO (REG.RES),Karnataka,DHARWAD,Jun,2010,21.93
AMBIKAPUR,Chhattisgarh,SARGUJA,Jun,2010,26.32
KALPA,Himachal Pradesh,KINNAUR,Jun,2010,9.11
K.PARAMATHY,Tamil Nadu,KARUR,Jun,2010,26.18
PACHMARHI,Madhya Pradesh,HOSHANGABAD,Jun,2010,23.45
DIGHA,West Bengal,PURBA MEDNAPUR,Jun,2010,28.16
PURI,Odisha,PURI,Jun,2010,28.41
BELLARY,Karnataka,BELLARY,Jun,2010,23.01
DEHRA DUN,Uttarakhand,DEHRA DUN,Jun,2010,23.19
BIDAR,Karnataka,BIDAR,Jun,2010,23.72
KARWAR,Karnataka,UTTAR KANNADA,Jun,2010,25.75
BARMER,Rajasthan,BARMER,Jun,2010,28.88
HASSAN,Karnataka,HASSAN,Jun,2010,15.63
DURG,Chhattisgarh,DURG,Jun,2010,26.68
KHARGONE,Madhya Pradesh,WEST NIMAR,Jun,2010,27.79
SATNA,Madhya Pradesh,SATNA,Jun,2010,29.22
JHARSUGUDA(A),Odisha,JHARSUGUDA,Jun,2010,28.01
MADIKERI/MERCARA,Karnataka,KODAGU,Jun,2010,17.87
ALLAHABAD (BAMHRAULI(A)),Uttar Pradesh,ALLAHABAD,Jun,2010,30.46
DHAR,Madhya Pradesh,DHAR,Jun,2010,24.99
SILCHAR,Assam,CACHAR,Jun,2010,24.72
ROHTAK,Haryana,ROHTAK,Jun,2010,25.57
MUKTESWAR (KUMAUN),Uttarakhand,NAINITAL,Jun,2010,14.19
TIRUMALA,Andhra Pradesh,CHITTOOR,Jun,2010,22.26
VISAKHAPATNAM AIRPORT,Andhra Pradesh,VISAKHAPATNAM,Jun,2010,27.49
BIJAPUR,Karnataka,BIJAPUR,Jun,2010,22.66
BANGALORE,Karnataka,BENGALURU,Jun,2010,21.15
KANYAKUMARI,Tamil Nadu,KANYAKUMARI,Jun,2010,24.38
SATARA,Maharashtra,SATARA,Jun,2010,22.77
CHANDIGARH,Haryana,CHANDIGARH,Jun,2010,25.95
KOHIMA,Nagaland,KOHIMA,Jun,2010,16.60
MIDNAPORE,West Bengal,PASCHIM MEDNAPUR,Jun,2010,27.42
WARDHA,Maharashtra,WARDHA,Jun,2010,23.79
KUPWARA,Jammu and Kashmir,KUPWARA,Jun,2010,12.53
MANDI,Himachal Pradesh,MANDI,Jun,2010,19.66
VEDARANYAM,Tamil Nadu,NAGAPATTINAM,Jun,2010,26.70
BHUNTAR(A),Himachal Pradesh,KULU,Jun,2010,15.61
HAIDAN IAF,Delhi,SOUTH DELHI,Jun,2010,26.57
KEONJHARGARH,Odisha,KEONJHAR,Jun,2010,24.31
JHANSI,Uttar Pradesh,JHANSI,Jun,2010,29.54
YEOTMAL,Maharashtra,YAVATMAL,Jun,2010,23.74
MANGALORE BAJPE(A),Karnataka,DAKSHIN KANNADA,Jun,2010,23.85
AMRITSAR(A),Punjab,AMRITSAR,Jun,2010,25.40
HYDERABAD(A),Telangana,HYDERABAD,Jun,2010,25.45
KATHUA,Jammu and Kashmir,KATHUA,Jun,2010,24.87
UJJAIN,Madhya Pradesh,UJJAIN,Jun,2010,27.28
AHMEDABAD (A),Gujarat,AHMEDABAD,Jun,2010,28.60
NORTH LAKHIMPUR(A) / LILABARI,Assam,LAKHIMPUR,Jun,2010,22.40
FURSATGANJ,Uttar Pradesh,RAIBARELI,Jun,2010,28.04
BANDA,Uttar Pradesh,BANDA,Jun,2010,29.41
